datetime,price,side,traded_quantity,is_intraday,unable_to_trade_days
2022-02-02 10:00:00,630.65,1,25,True,8
2022-02-02 10:35:00,650.0,1,25,True,8
2022-02-02 10:40:00,528.75,-1,25,True,8
2022-02-02 10:45:00,629.5,-1,25,True,8
2022-02-02 10:55:00,590.4,1,25,True,8
2022-02-02 14:05:00,548.45,1,25,True,8
2022-02-02 14:15:00,433.8,-1,25,True,8
2022-02-02 14:30:00,383.55,1,25,True,8
2022-02-03 09:30:00,509.4,-1,25,True,8
2022-02-03 10:00:00,502.0,1,25,True,8
2022-02-03 10:05:00,533.1,-1,25,True,8
2022-02-03 10:05:00,588.65,1,25,True,8
2022-02-03 10:10:00,443.2,-1,25,True,8
2022-02-03 10:55:00,474.7,1,25,True,8
2022-02-03 11:05:00,469.4,-1,25,True,8
2022-02-03 12:35:00,523.0,1,25,True,8
2022-02-03 12:40:00,500.95,-1,25,True,8
2022-02-03 13:15:00,540.5,1,25,True,8
2022-02-03 13:25:00,538.0,-1,25,True,8
2022-02-03 13:35:00,575.1,1,25,True,8
2022-02-03 13:40:00,440.0,-1,25,True,8
2022-02-03 14:30:00,371.8,1,25,True,8
2022-02-04 09:30:00,731.75,-1,25,True,8
2022-02-04 10:05:00,768.65,1,25,True,8
2022-02-04 10:10:00,707.0,-1,25,True,8
2022-02-04 10:10:00,767.45,-1,25,True,8
2022-02-04 10:10:00,788.6,1,25,True,8
2022-02-04 13:30:00,512.9,1,25,True,8
2022-02-04 13:40:00,497.05,-1,25,True,8
2022-02-04 13:45:00,552.35,1,25,True,8
2022-02-07 09:30:00,660.15,-1,25,True,8
2022-02-07 09:35:00,663.55,-1,25,True,8
2022-02-07 09:55:00,722.9,1,25,True,8
2022-02-07 14:30:00,343.45,1,25,True,8
2022-02-08 09:35:00,820.0,-1,25,True,8
2022-02-08 09:35:00,535.0,-1,25,True,8
2022-02-08 09:40:00,634.75,1,25,True,8
2022-02-08 11:15:00,403.65,1,25,True,8
2022-02-08 12:25:00,662.6,-1,25,True,8
2022-02-08 13:00:00,750.35,1,25,True,8
2022-02-08 13:35:00,680.45,-1,25,True,8
2022-02-08 13:40:00,685.05,1,25,True,8
2022-02-08 13:45:00,679.0,-1,25,True,8
2022-02-08 13:50:00,726.25,1,25,True,8
2022-02-09 09:30:00,570.25,-1,25,True,8
2022-02-09 10:25:00,612.0,1,25,True,8
2022-02-09 10:30:00,545.0,-1,25,True,8
2022-02-09 10:45:00,622.85,1,25,True,8
2022-02-09 10:50:00,527.85,-1,25,True,8
2022-02-09 11:05:00,590.6,1,25,True,8
2022-02-09 11:25:00,554.9,-1,25,True,8
2022-02-09 11:30:00,571.65,-1,25,True,8
2022-02-09 11:30:00,581.3,1,25,True,8
2022-02-09 11:35:00,566.5,1,25,True,8
2022-02-09 11:55:00,547.95,-1,25,True,8
2022-02-09 13:05:00,615.0,-1,25,True,8
2022-02-09 13:05:00,574.9,1,25,True,8
2022-02-09 13:15:00,601.35,1,25,True,8
2022-02-09 13:20:00,519.8,-1,25,True,8
2022-02-09 14:30:00,430.4,1,25,True,8
2022-02-10 09:35:00,472.65,-1,25,True,8
2022-02-10 09:40:00,610.0,-1,25,True,8
2022-02-10 09:55:00,588.55,1,25,True,8
2022-02-10 09:55:00,588.55,1,25,True,8
2022-02-10 10:05:00,719.5,1,25,True,8
2022-02-10 10:05:00,719.5,1,25,True,8
2022-02-10 10:10:00,341.0,-1,25,True,8
2022-02-10 14:30:00,56.65,1,25,True,8
2022-02-11 09:30:00,707.7,-1,25,True,8
2022-02-11 09:50:00,706.95,-1,25,True,8
2022-02-11 09:50:00,772.05,1,25,True,8
2022-02-11 11:45:00,660.55,1,25,True,8
2022-02-11 12:05:00,619.75,-1,25,True,8
2022-02-11 12:35:00,669.85,1,25,True,8
2022-02-11 12:40:00,763.65,-1,25,True,8
2022-02-11 14:05:00,776.95,1,25,True,8
2022-02-11 14:10:00,648.15,-1,25,True,8
2022-02-11 14:30:00,630.0,1,25,True,8
2022-02-14 09:30:00,858.6,-1,25,True,8
2022-02-14 10:00:00,845.7,1,25,True,8
2022-02-14 10:05:00,695.0,-1,25,True,8
2022-02-14 10:05:00,764.35,1,25,True,8
2022-02-14 10:10:00,797.0,-1,25,True,8
2022-02-14 10:30:00,706.2,-1,25,True,8
2022-02-14 10:30:00,846.45,1,25,True,8
2022-02-14 11:15:00,800.8,-1,25,True,8
2022-02-14 11:25:00,770.0,1,25,True,8
2022-02-14 12:20:00,728.0,-1,25,True,8
2022-02-14 12:30:00,774.45,1,25,True,8
2022-02-14 13:05:00,743.9,-1,25,True,8
2022-02-14 13:30:00,748.35,1,25,True,8
2022-02-14 14:30:00,516.4,1,25,True,8
2022-02-15 09:30:00,696.65,-1,25,True,8
2022-02-15 10:15:00,611.15,1,25,True,8
2022-02-15 10:25:00,592.0,-1,25,True,8
2022-02-15 11:00:00,609.9,1,25,True,8
2022-02-15 11:05:00,758.95,-1,25,True,8
2022-02-15 14:30:00,173.1,1,25,True,8
2022-02-16 09:30:00,603.85,-1,25,True,8
2022-02-16 09:35:00,572.7,-1,25,True,8
2022-02-16 09:40:00,636.1,1,25,True,8
2022-02-16 12:15:00,492.7,1,25,True,8
2022-02-16 12:35:00,601.2,-1,25,True,8
2022-02-16 14:30:00,454.35,1,25,True,8
2022-02-17 09:30:00,529.8,-1,25,True,8
2022-02-17 10:40:00,395.6,1,25,True,8
2022-02-17 11:00:00,539.45,-1,25,True,8
2022-02-17 11:20:00,567.7,1,25,True,8
2022-02-17 11:45:00,341.0,-1,25,True,8
2022-02-17 11:55:00,446.7,1,25,True,8
2022-02-17 12:35:00,505.05,-1,25,True,8
2022-02-17 12:40:00,568.05,1,25,True,8
2022-02-17 13:00:00,550.0,-1,25,True,8
2022-02-17 13:05:00,617.1,1,25,True,8
2022-02-17 13:10:00,413.5,-1,25,True,8
2022-02-17 13:15:00,420.15,1,25,True,8
2022-02-17 13:25:00,363.6,-1,25,True,8
2022-02-17 13:35:00,433.65,1,25,True,8
2022-02-17 13:45:00,536.35,-1,25,True,8
2022-02-17 13:50:00,586.7,1,25,True,8
2022-02-17 14:00:00,344.9,-1,25,True,8
2022-02-17 14:30:00,285.85,1,25,True,8
2022-02-18 09:30:00,792.0,-1,25,True,8
2022-02-18 09:40:00,879.2,1,25,True,8
2022-02-18 09:45:00,859.9,-1,25,True,8
2022-02-18 10:00:00,823.75,-1,25,True,8
2022-02-18 10:05:00,892.1,1,25,True,8
2022-02-18 10:15:00,877.35,-1,25,True,8
2022-02-18 10:35:00,864.85,1,25,True,8
2022-02-18 10:50:00,830.9,-1,25,True,8
2022-02-18 10:55:00,877.55,1,25,True,8
2022-02-18 14:15:00,736.1,1,25,True,8
2022-02-18 14:25:00,890.2,-1,25,True,8
2022-02-18 14:30:00,906.2,1,25,True,8
2022-02-21 09:30:00,864.4,-1,25,True,8
2022-02-21 09:50:00,649.75,-1,25,True,8
2022-02-21 09:50:00,902.0,1,25,True,8
2022-02-21 14:10:00,442.1,1,25,True,8
2022-02-22 09:35:00,781.6,-1,25,True,8
2022-02-22 09:35:00,726.0,-1,25,True,8
2022-02-22 09:35:00,800.0,1,25,True,8
2022-02-22 09:55:00,744.0,-1,25,True,8
2022-02-22 09:55:00,791.95,1,25,True,8
2022-02-22 10:40:00,780.0,-1,25,True,8
2022-02-22 10:40:00,741.15,1,25,True,8
2022-02-22 10:50:00,700.0,-1,25,True,8
2022-02-22 10:55:00,837.25,1,25,True,8
2022-02-22 10:55:00,837.25,1,25,True,8
2022-02-22 12:35:00,809.75,-1,25,True,8
2022-02-22 12:55:00,701.05,1,25,True,8
2022-02-22 13:15:00,677.2,-1,25,True,8
2022-02-22 13:55:00,900.2,1,25,True,8
2022-02-22 14:30:00,398.2,1,25,True,8
2022-02-23 09:30:00,628.7,-1,25,True,8
2022-02-23 09:40:00,708.05,1,25,True,8
2022-02-23 09:50:00,651.15,-1,25,True,8
2022-02-23 10:00:00,540.8,-1,25,True,8
2022-02-23 10:00:00,674.7,1,25,True,8
2022-02-23 10:05:00,674.7,-1,25,True,8
2022-02-23 10:10:00,777.65,1,25,True,8
2022-02-23 11:10:00,711.15,-1,25,True,8
2022-02-23 11:15:00,490.3,1,25,True,8
2022-02-23 11:50:00,710.95,1,25,True,8
2022-02-23 12:00:00,494.0,-1,25,True,8
2022-02-23 12:00:00,687.3,-1,25,True,8
2022-02-23 12:05:00,510.9,1,25,True,8
2022-02-23 12:15:00,726.75,1,25,True,8
2022-02-23 12:20:00,461.8,-1,25,True,8
2022-02-23 13:15:00,705.7,-1,25,True,8
2022-02-23 13:25:00,711.85,1,25,True,8
2022-02-23 13:30:00,710.05,-1,25,True,8
2022-02-23 13:35:00,732.0,1,25,True,8
2022-02-23 13:45:00,695.0,-1,25,True,8
